Airline,Date,Value,Status,Country,Region,IATA
Ryanair,2003'Q2,1116.0,public,EU,Europe,FR
Finnair,2003'Q2,1881.0,public,EU,Europe,AY
Singapore Airlines,2003'Q2,5885.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q2,6993.0,public,AU,Asia Pacific,QF
Cathay Pacific,2003'Q2,4041.0,public,HK,Asia Pacific,CX
LATAM Airlines,2003'Q2,1562.0,public,CL,Latin America,LA
China Eastern,2003'Q2,1666.0,public,CN,China,MU
China Southern,2003'Q2,2145.0,public,CN,China,CZ
Hainan Airlines,2003'Q2,615.0,public,CN,China,HU
Aeroflot,2003'Q2,1666.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q3,17435.0,public,US,North America,AA
Delta Air Lines,2003'Q3,14198.0,public,US,North America,DL
Southwest Airlines,2003'Q3,5833.0,public,US,North America,WN
United Airlines,2003'Q3,15152.0,public,US,North America,UA
Alaska Air,2003'Q3,2390.0,public,US,North America,AS
JetBlue,2003'Q3,908.0,public,US,North America,B6
SkyWest,2003'Q3,860.0,public,US,North America,OO
Northwest Airlines,2003'Q3,10052.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q3,6427.0,public,CA,North America,AC
Air France-KLM,2003'Q3,14807.0,public,EU,Europe,AF/KL
Ryanair,2003'Q3,1214.0,public,EU,Europe,FR
Finnair,2003'Q3,1949.0,public,EU,Europe,AY
Singapore Airlines,2003'Q3,5849.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q3,7292.0,public,AU,Asia Pacific,QF
Cathay Pacific,2003'Q3,3939.0,public,HK,Asia Pacific,CX
LATAM Airlines,2003'Q3,1610.0,public,CL,Latin America,LA
China Eastern,2003'Q3,1696.0,public,CN,China,MU
China Southern,2003'Q3,2129.0,public,CN,China,CZ
Hainan Airlines,2003'Q3,631.0,public,CN,China,HU
Aeroflot,2003'Q3,1710.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2003'Q4,17440.0,public,US,North America,AA
Delta Air Lines,2003'Q4,14308.0,public,US,North America,DL
Southwest Airlines,2003'Q4,5937.0,public,US,North America,WN
United Airlines,2003'Q4,14928.0,public,US,North America,UA
Alaska Air,2003'Q4,2445.0,public,US,North America,AS
JetBlue,2003'Q4,998.0,public,US,North America,B6
SkyWest,2003'Q4,888.0,public,US,North America,OO
Northwest Airlines,2003'Q4,10077.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q4,6475.0,public,CA,North America,AC
Air France-KLM,2003'Q4,15135.0,public,EU,Europe,AF/KL
Ryanair,2003'Q4,1313.0,public,EU,Europe,FR
easyJet,2003'Q4,1560.0,public,EU,Europe,U2
Finnair,2003'Q4,2018.0,public,EU,Europe,AY
Singapore Airlines,2003'Q4,5814.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q4,7591.0,public,AU,Asia Pacific,QF
Cathay Pacific,2003'Q4,3838.0,public,HK,Asia Pacific,CX
LATAM Airlines,2003'Q4,1658.0,public,CL,Latin America,LA
Air China,2003'Q4,2996.0,public,CN,China,CA
China Eastern,2003'Q4,1725.0,public,CN,China,MU
China Southern,2003'Q4,2113.0,public,CN,China,CZ
Hainan Airlines,2003'Q4,648.0,public,CN,China,HU
Aeroflot,2003'Q4,1755.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q1,17741.0,public,US,North America,AA
Delta Air Lines,2004'Q1,14540.0,public,US,North America,DL
Southwest Airlines,2004'Q1,6085.0,public,US,North America,WN
United Airlines,2004'Q1,15294.0,public,US,North America,UA
Alaska Air,2004'Q1,2515.0,public,US,North America,AS
JetBlue,2004'Q1,1065.0,public,US,North America,B6
SkyWest,2004'Q1,955.0,public,US,North America,OO
Northwest Airlines,2004'Q1,10378.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q1,6681.0,public,CA,North America,AC
