Airline,Date,Revenue,Status,Country,Region,IATA
Singapore Airlines,2003'Q3,2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q3,20.0,public,AU,Asia Pacific,QF
Cathay Pacific,2003'Q3,-5.0,public,HK,Asia Pacific,CX
LATAM Airlines,2003'Q3,10.0,public,CL,Latin America,LA
China Eastern,2003'Q3,8.0,public,CN,China,MU
China Southern,2003'Q3,-1.0,public,CN,China,CZ
Hainan Airlines,2003'Q3,20.0,public,CN,China,HU
Aeroflot,2003'Q3,9.0,"taken private 2023, war",RU,Russia,SU
Delta Air Lines,2003'Q4,3.0,public,US,North America,DL
Southwest Airlines,2003'Q4,8.0,public,US,North America,WN
United Airlines,2003'Q4,-6.0,public,US,North America,UA
Alaska Air,2003'Q4,10.0,public,US,North America,AS
JetBlue,2003'Q4,57.0,public,US,North America,B6
SkyWest,2003'Q4,15.0,public,US,North America,OO
Northwest Airlines,2003'Q4,1.0,merged with Delta 2008,US,North America,NW
Air Canada,2003'Q4,3.0,public,CA,North America,AC
Air France-KLM,2003'Q4,9.0,public,EU,Europe,AF/KL
Ryanair,2003'Q4,43.0,public,EU,Europe,FR
Finnair,2003'Q4,16.0,public,EU,Europe,AY
Singapore Airlines,2003'Q4,-2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2003'Q4,19.0,public,AU,Asia Pacific,QF
Cathay Pacific,2003'Q4,-10.0,public,HK,Asia Pacific,CX
LATAM Airlines,2003'Q4,13.0,public,CL,Latin America,LA
China Eastern,2003'Q4,7.0,public,CN,China,MU
China Southern,2003'Q4,-3.0,public,CN,China,CZ
Hainan Airlines,2003'Q4,11.0,public,CN,China,HU
Aeroflot,2003'Q4,11.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q1,2.0,public,US,North America,AA
Delta Air Lines,2004'Q1,4.0,public,US,North America,DL
Southwest Airlines,2004'Q1,8.0,public,US,North America,WN
United Airlines,2004'Q1,-2.0,public,US,North America,UA
Alaska Air,2004'Q1,10.0,public,US,North America,AS
JetBlue,2004'Q1,50.0,public,US,North America,B6
SkyWest,2004'Q1,19.0,public,US,North America,OO
Northwest Airlines,2004'Q1,4.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q1,5.0,public,CA,North America,AC
Air France-KLM,2004'Q1,23.0,public,EU,Europe,AF/KL
Ryanair,2004'Q1,40.0,public,EU,Europe,FR
easyJet,2004'Q1,26.0,public,EU,Europe,U2
Finnair,2004'Q1,15.0,public,EU,Europe,AY
Singapore Airlines,2004'Q1,5.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q1,15.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q1,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q1,17.0,public,CL,Latin America,LA
Air China,2004'Q1,37.0,public,CN,China,CA
China Eastern,2004'Q1,18.0,public,CN,China,MU
China Southern,2004'Q1,7.0,public,CN,China,CZ
Hainan Airlines,2004'Q1,22.0,public,CN,China,HU
Aeroflot,2004'Q1,14.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q2,4.0,public,US,North America,AA
Delta Air Lines,2004'Q2,5.0,public,US,North America,DL
Southwest Airlines,2004'Q2,9.0,public,US,North America,WN
United Airlines,2004'Q2,2.0,public,US,North America,UA
Alaska Air,2004'Q2,11.0,public,US,North America,AS
JetBlue,2004'Q2,42.0,public,US,North America,B6
SkyWest,2004'Q2,22.0,public,US,North America,OO
Northwest Airlines,2004'Q2,6.0,merged with Delta 2008,US,North America,NW
Air Canada,2004'Q2,8.0,public,CA,North America,AC
Air France-KLM,2004'Q2,36.0,public,EU,Europe,AF/KL
Ryanair,2004'Q2,37.0,public,EU,Europe,FR
easyJet,2004'Q2,26.0,public,EU,Europe,U2
Finnair,2004'Q2,15.0,public,EU,Europe,AY
Singapore Airlines,2004'Q2,11.0,public,SG,Asia Pacific,SQ
Qantas Airways,2004'Q2,11.0,public,AU,Asia Pacific,QF
Cathay Pacific,2004'Q2,11.0,public,HK,Asia Pacific,CX
LATAM Airlines,2004'Q2,21.0,public,CL,Latin America,LA
Air China,2004'Q2,37.0,public,CN,China,CA
China Eastern,2004'Q2,29.0,public,CN,China,MU
China Southern,2004'Q2,17.0,public,CN,China,CZ
Hainan Airlines,2004'Q2,32.0,public,CN,China,HU
Aeroflot,2004'Q2,18.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2004'Q3,5.0,public,US,North America,AA
Delta Air Lines,2004'Q3,6.0,public,US,North America,DL
Southwest Airlines,2004'Q3,9.0,public,US,North America,WN
