Airline,Date,Revenue,Status,Country,Region,IATA
Southwest Airlines,2016'Q2,4.0,public,US,North America,WN
United Airlines,2016'Q2,-3.0,public,US,North America,UA
Alaska Air,2016'Q2,5.0,public,US,North America,AS
JetBlue,2016'Q2,6.0,public,US,North America,B6
SkyWest,2016'Q2,-3.0,public,US,North America,OO
Air Canada,2016'Q2,-2.0,public,CA,North America,AC
IAG,2016'Q2,-1.0,public,EU,Europe,
Air France-KLM,2016'Q2,6.0,public,EU,Europe,AF/KL
Ryanair,2016'Q2,9.0,public,EU,Europe,FR
easyJet,2016'Q2,-9.0,public,EU,Europe,U2
Finnair,2016'Q2,-5.0,public,EU,Europe,AY
Singapore Airlines,2016'Q2,-3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2016'Q2,-8.0,public,AU,Asia Pacific,QF
Cathay Pacific,2016'Q2,-6.0,public,HK,Asia Pacific,CX
LATAM Airlines,2016'Q2,-12.0,public,CL,Latin America,LA
Air China,2016'Q2,-2.0,public,CN,China,CA
China Eastern,2016'Q2,-1.0,public,CN,China,MU
China Southern,2016'Q2,-4.0,public,CN,China,CZ
Qatar Airways,2016'Q2,7.0,private,QA,Middle East,QR
Aeroflot,2016'Q2,22.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2016'Q3,-3.0,public,US,North America,AA
Delta Air Lines,2016'Q3,-2.0,public,US,North America,DL
Southwest Airlines,2016'Q3,3.0,public,US,North America,WN
United Airlines,2016'Q3,-3.0,public,US,North America,UA
Alaska Air,2016'Q3,5.0,public,US,North America,AS
JetBlue,2016'Q3,5.0,public,US,North America,B6
SkyWest,2016'Q3,-2.0,public,US,North America,OO
Air Canada,2016'Q3,3.0,public,CA,North America,AC
IAG,2016'Q3,-3.0,public,EU,Europe,
Air France-KLM,2016'Q3,12.0,public,EU,Europe,AF/KL
Ryanair,2016'Q3,2.0,public,EU,Europe,FR
easyJet,2016'Q3,-12.0,public,EU,Europe,U2
Finnair,2016'Q3,-5.0,public,EU,Europe,AY
Singapore Airlines,2016'Q3,-4.0,public,SG,Asia Pacific,SQ
Qantas Airways,2016'Q3,-5.0,public,AU,Asia Pacific,QF
Cathay Pacific,2016'Q3,-8.0,public,HK,Asia Pacific,CX
LATAM Airlines,2016'Q3,-9.0,public,CL,Latin America,LA
Air China,2016'Q3,-2.0,public,CN,China,CA
China Eastern,2016'Q3,-1.0,public,CN,China,MU
China Southern,2016'Q3,-4.0,public,CN,China,CZ
Hainan Airlines,2016'Q3,4.0,public,CN,China,HU
Qatar Airways,2016'Q3,8.0,private,QA,Middle East,QR
Aeroflot,2016'Q3,32.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2016'Q4,-2.0,public,US,North America,AA
Delta Air Lines,2016'Q4,-3.0,public,US,North America,DL
Southwest Airlines,2016'Q4,2.0,public,US,North America,WN
United Airlines,2016'Q4,-3.0,public,US,North America,UA
Alaska Air,2016'Q4,6.0,public,US,North America,AS
JetBlue,2016'Q4,3.0,public,US,North America,B6
SkyWest,2016'Q4,-1.0,public,US,North America,OO
Air Canada,2016'Q4,9.0,public,CA,North America,AC
IAG,2016'Q4,-4.0,public,EU,Europe,
Air France-KLM,2016'Q4,18.0,public,EU,Europe,AF/KL
Ryanair,2016'Q4,-4.0,public,EU,Europe,FR
easyJet,2016'Q4,-15.0,public,EU,Europe,U2
Finnair,2016'Q4,-6.0,public,EU,Europe,AY
Singapore Airlines,2016'Q4,-6.0,public,SG,Asia Pacific,SQ
Qantas Airways,2016'Q4,-1.0,public,AU,Asia Pacific,QF
Cathay Pacific,2016'Q4,-9.0,public,HK,Asia Pacific,CX
LATAM Airlines,2016'Q4,-6.0,public,CL,Latin America,LA
Air China,2016'Q4,-2.0,public,CN,China,CA
China Eastern,2016'Q4,-2.0,public,CN,China,MU
China Southern,2016'Q4,-3.0,public,CN,China,CZ
Hainan Airlines,2016'Q4,8.0,public,CN,China,HU
Qatar Airways,2016'Q4,10.0,private,QA,Middle East,QR
Aeroflot,2016'Q4,42.0,"taken private 2023, war",RU,Russia,SU
Delta Air Lines,2017'Q1,-1.0,public,US,North America,DL
Southwest Airlines,2017'Q1,3.0,public,US,North America,WN
United Airlines,2017'Q1,-2.0,public,US,North America,UA
Alaska Air,2017'Q1,13.0,public,US,North America,AS
JetBlue,2017'Q1,4.0,public,US,North America,B6
Air Canada,2017'Q1,11.0,public,CA,North America,AC
IAG,2017'Q1,1.0,public,EU,Europe,
Air France-KLM,2017'Q1,13.0,public,EU,Europe,AF/KL
Ryanair,2017'Q1,3.0,public,EU,Europe,FR
easyJet,2017'Q1,-8.0,public,EU,Europe,U2
Finnair,2017'Q1,2.0,public,EU,Europe,AY
Singapore Airlines,2017'Q1,-1.0,public,SG,Asia Pacific,SQ
Cathay Pacific,2017'Q1,-6.0,public,HK,Asia Pacific,CX
LATAM Airlines,2017'Q1,-3.0,public,CL,Latin America,LA
Air China,2017'Q1,2.0,public,CN,China,CA
China Eastern,2017'Q1,2.0,public,CN,China,MU
China Southern,2017'Q1,3.0,public,CN,China,CZ
Hainan Airlines,2017'Q1,21.0,public,CN,China,HU
Qatar Airways,2017'Q1,10.0,private,QA,Middle East,QR
Aeroflot,2017'Q1,35.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2017'Q2,2.0,public,US,North America,AA
Delta Air Lines,2017'Q2,1.0,public,US,North America,DL
Southwest Airlines,2017'Q2,3.0,public,US,North America,WN
Alaska Air,2017'Q2,20.0,public,US,North America,AS
JetBlue,2017'Q2,5.0,public,US,North America,B6
Air Canada,2017'Q2,13.0,public,CA,North America,AC
IAG,2017'Q2,6.0,public,EU,Europe,
Air France-KLM,2017'Q2,7.0,public,EU,Europe,AF/KL
Ryanair,2017'Q2,10.0,public,EU,Europe,FR
easyJet,2017'Q2,-2.0,public,EU,Europe,U2
Finnair,2017'Q2,10.0,public,EU,Europe,AY
Singapore Airlines,2017'Q2,4.0,public,SG,Asia Pacific,SQ
Qantas Airways,2017'Q2,1.0,public,AU,Asia Pacific,QF
Cathay Pacific,2017'Q2,-3.0,public,HK,Asia Pacific,CX
Air China,2017'Q2,6.0,public,CN,China,CA
China Eastern,2017'Q2,6.0,public,CN,China,MU
China Southern,2017'Q2,9.0,public,CN,China,CZ
Hainan Airlines,2017'Q2,34.0,public,CN,China,HU
Qatar Airways,2017'Q2,9.0,private,QA,Middle East,QR
Aeroflot,2017'Q2,27.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2017'Q3,4.0,public,US,North America,AA
Delta Air Lines,2017'Q3,2.0,public,US,North America,DL
Southwest Airlines,2017'Q3,4.0,public,US,North America,WN
United Airlines,2017'Q3,2.0,public,US,North America,UA
Alaska Air,2017'Q3,26.0,public,US,North America,AS
JetBlue,2017'Q3,6.0,public,US,North America,B6
SkyWest,2017'Q3,1.0,public,US,North America,OO
Air Canada,2017'Q3,16.0,public,CA,North America,AC
IAG,2017'Q3,11.0,public,EU,Europe,
Air France-KLM,2017'Q3,2.0,public,EU,Europe,AF/KL
Ryanair,2017'Q3,17.0,public,EU,Europe,FR
easyJet,2017'Q3,5.0,public,EU,Europe,U2
Finnair,2017'Q3,18.0,public,EU,Europe,AY
Singapore Airlines,2017'Q3,9.0,public,SG,Asia Pacific,SQ
Qantas Airways,2017'Q3,2.0,public,AU,Asia Pacific,QF
Cathay Pacific,2017'Q3,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2017'Q3,4.0,public,CL,Latin America,LA
Air China,2017'Q3,11.0,public,CN,China,CA
China Eastern,2017'Q3,9.0,public,CN,China,MU
China Southern,2017'Q3,15.0,public,CN,China,CZ
Hainan Airlines,2017'Q3,47.0,public,CN,China,HU
Qatar Airways,2017'Q3,9.0,private,QA,Middle East,QR
Aeroflot,2017'Q3,20.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2017'Q4,6.0,public,US,North America,AA
Delta Air Lines,2017'Q4,4.0,public,US,North America,DL
Southwest Airlines,2017'Q4,4.0,public,US,North America,WN
United Airlines,2017'Q4,3.0,public,US,North America,UA
Alaska Air,2017'Q4,33.0,public,US,North America,AS
JetBlue,2017'Q4,7.0,public,US,North America,B6
SkyWest,2017'Q4,2.0,public,US,North America,OO
Air Canada,2017'Q4,18.0,public,CA,North America,AC
IAG,2017'Q4,16.0,public,EU,Europe,
Air France-KLM,2017'Q4,-3.0,public,EU,Europe,AF/KL
Ryanair,2017'Q4,24.0,public,EU,Europe,FR
easyJet,2017'Q4,12.0,public,EU,Europe,U2
Finnair,2017'Q4,26.0,public,EU,Europe,AY
Singapore Airlines,2017'Q4,13.0,public,SG,Asia Pacific,SQ
Qantas Airways,2017'Q4,3.0,public,AU,Asia Pacific,QF
Cathay Pacific,2017'Q4,4.0,public,HK,Asia Pacific,CX
LATAM Airlines,2017'Q4,7.0,public,CL,Latin America,LA
Air China,2017'Q4,15.0,public,CN,China,CA
China Eastern,2017'Q4,13.0,public,CN,China,MU
China Southern,2017'Q4,22.0,public,CN,China,CZ
Hainan Airlines,2017'Q4,60.0,public,CN,China,HU
Qatar Airways,2017'Q4,9.0,private,QA,Middle East,QR
Aeroflot,2017'Q4,13.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2018'Q1,6.0,public,US,North America,AA
Delta Air Lines,2018'Q1,5.0,public,US,North America,DL
Southwest Airlines,2018'Q1,4.0,public,US,North America,WN
United Airlines,2018'Q1,5.0,public,US,North America,UA
Alaska Air,2018'Q1,26.0,public,US,North America,AS
JetBlue,2018'Q1,7.0,public,US,North America,B6
SkyWest,2018'Q1,2.0,public,US,North America,OO
Air Canada,2018'Q1,14.0,public,CA,North America,AC
IAG,2018'Q1,12.0,public,EU,Europe,
Air France-KLM,2018'Q1,-2.0,public,EU,Europe,AF/KL
Ryanair,2018'Q1,18.0,public,EU,Europe,FR
easyJet,2018'Q1,12.0,public,EU,Europe,U2
Finnair,2018'Q1,21.0,public,EU,Europe,AY
Singapore Airlines,2018'Q1,10.0,public,SG,Asia Pacific,SQ
Qantas Airways,2018'Q1,3.0,public,AU,Asia Pacific,QF
Cathay Pacific,2018'Q1,7.0,public,HK,Asia Pacific,CX
LATAM Airlines,2018'Q1,6.0,public,CL,Latin America,LA
Air China,2018'Q1,13.0,public,CN,China,CA
China Eastern,2018'Q1,11.0,public,CN,China,MU
China Southern,2018'Q1,18.0,public,CN,China,CZ
Hainan Airlines,2018'Q1,47.0,public,CN,China,HU
Qatar Airways,2018'Q1,10.0,private,QA,Middle East,QR
Aeroflot,2018'Q1,9.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2018'Q1,17.0,public,TR,Turkey,TK
American Airlines,2018'Q2,5.0,public,US,North America,AA
Delta Air Lines,2018'Q2,6.0,public,US,North America,DL
Southwest Airlines,2018'Q2,4.0,public,US,North America,WN
United Airlines,2018'Q2,6.0,public,US,North America,UA
Alaska Air,2018'Q2,19.0,public,US,North America,AS
JetBlue,2018'Q2,8.0,public,US,North America,B6
SkyWest,2018'Q2,3.0,public,US,North America,OO
Air Canada,2018'Q2,10.0,public,CA,North America,AC
IAG,2018'Q2,9.0,public,EU,Europe,
Air France-KLM,2018'Q2,-1.0,public,EU,Europe,AF/KL
Ryanair,2018'Q2,11.0,public,EU,Europe,FR
easyJet,2018'Q2,13.0,public,EU,Europe,U2
Finnair,2018'Q2,15.0,public,EU,Europe,AY
Singapore Airlines,2018'Q2,7.0,public,SG,Asia Pacific,SQ
Qantas Airways,2018'Q2,3.0,public,AU,Asia Pacific,QF
Cathay Pacific,2018'Q2,9.0,public,HK,Asia Pacific,CX
LATAM Airlines,2018'Q2,5.0,public,CL,Latin America,LA
Air China,2018'Q2,11.0,public,CN,China,CA
China Eastern,2018'Q2,9.0,public,CN,China,MU
China Southern,2018'Q2,15.0,public,CN,China,CZ
Hainan Airlines,2018'Q2,34.0,public,CN,China,HU
Qatar Airways,2018'Q2,12.0,private,QA,Middle East,QR
Aeroflot,2018'Q2,4.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2018'Q2,17.0,public,TR,Turkey,TK
American Airlines,2018'Q3,5.0,public,US,North America,AA
Delta Air Lines,2018'Q3,7.0,public,US,North America,DL
Southwest Airlines,2018'Q3,4.0,public,US,North America,WN
United Airlines,2018'Q3,8.0,public,US,North America,UA
Alaska Air,2018'Q3,12.0,public,US,North America,AS
JetBlue,2018'Q3,9.0,public,US,North America,B6
SkyWest,2018'Q3,3.0,public,US,North America,OO
Air Canada,2018'Q3,6.0,public,CA,North America,AC
IAG,2018'Q3,5.0,public,EU,Europe,
Ryanair,2018'Q3,5.0,public,EU,Europe,FR
easyJet,2018'Q3,13.0,public,EU,Europe,U2
Finnair,2018'Q3,10.0,public,EU,Europe,AY
Singapore Airlines,2018'Q3,3.0,public,SG,Asia Pacific,SQ
Qantas Airways,2018'Q3,2.0,public,AU,Asia Pacific,QF
Cathay Pacific,2018'Q3,11.0,public,HK,Asia Pacific,CX
LATAM Airlines,2018'Q3,4.0,public,CL,Latin America,LA
Air China,2018'Q3,10.0,public,CN,China,CA
China Eastern,2018'Q3,7.0,public,CN,China,MU
China Southern,2018'Q3,11.0,public,CN,China,CZ
Hainan Airlines,2018'Q3,22.0,public,CN,China,HU
Qatar Airways,2018'Q3,13.0,private,QA,Middle East,QR
Turkish Airlines,2018'Q3,17.0,public,TR,Turkey,TK
American Airlines,2018'Q4,5.0,public,US,North America,AA
Delta Air Lines,2018'Q4,8.0,public,US,North America,DL
Southwest Airlines,2018'Q4,4.0,public,US,North America,WN
United Airlines,2018'Q4,9.0,public,US,North America,UA
Alaska Air,2018'Q4,5.0,public,US,North America,AS
JetBlue,2018'Q4,9.0,public,US,North America,B6
SkyWest,2018'Q4,3.0,public,US,North America,OO
Air Canada,2018'Q4,2.0,public,CA,North America,AC
IAG,2018'Q4,1.0,public,EU,Europe,
Air France-KLM,2018'Q4,2.0,public,EU,Europe,AF/KL
Ryanair,2018'Q4,-2.0,public,EU,Europe,FR
easyJet,2018'Q4,14.0,public,EU,Europe,U2
Finnair,2018'Q4,5.0,public,EU,Europe,AY
Qantas Airways,2018'Q4,2.0,public,AU,Asia Pacific,QF
Cathay Pacific,2018'Q4,14.0,public,HK,Asia Pacific,CX
LATAM Airlines,2018'Q4,3.0,public,CL,Latin America,LA
Air China,2018'Q4,8.0,public,CN,China,CA
China Eastern,2018'Q4,5.0,public,CN,China,MU
China Southern,2018'Q4,7.0,public,CN,China,CZ
Hainan Airlines,2018'Q4,9.0,public,CN,China,HU
Qatar Airways,2018'Q4,15.0,private,QA,Middle East,QR
Aeroflot,2018'Q4,-5.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2018'Q4,17.0,public,TR,Turkey,TK
American Airlines,2019'Q1,4.0,public,US,North America,AA
Delta Air Lines,2019'Q1,7.0,public,US,North America,DL
Southwest Airlines,2019'Q1,3.0,public,US,North America,WN
United Airlines,2019'Q1,8.0,public,US,North America,UA
Alaska Air,2019'Q1,5.0,public,US,North America,AS
JetBlue,2019'Q1,8.0,public,US,North America,B6
Air Canada,2019'Q1,4.0,public,CA,North America,AC
IAG,2019'Q1,2.0,public,EU,Europe,
Air France-KLM,2019'Q1,2.0,public,EU,Europe,AF/KL
Ryanair,2019'Q1,1.0,public,EU,Europe,FR
easyJet,2019'Q1,11.0,public,EU,Europe,U2
Deutsche Lufthansa,2019'Q1,-1.0,public,EU,Europe,LH
Finnair,2019'Q1,5.0,public,EU,Europe,AY
Singapore Airlines,2019'Q1,-2.0,public,SG,Asia Pacific,SQ
Qantas Airways,2019'Q1,1.0,public,AU,Asia Pacific,QF
Cathay Pacific,2019'Q1,10.0,public,HK,Asia Pacific,CX
LATAM Airlines,2019'Q1,2.0,public,CL,Latin America,LA
Air China,2019'Q1,5.0,public,CN,China,CA
China Eastern,2019'Q1,5.0,public,CN,China,MU
China Southern,2019'Q1,7.0,public,CN,China,CZ
Hainan Airlines,2019'Q1,8.0,public,CN,China,HU
Qatar Airways,2019'Q1,12.0,private,QA,Middle East,QR
Aeroflot,2019'Q1,2.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2019'Q1,14.0,public,TR,Turkey,TK
American Airlines,2019'Q2,4.0,public,US,North America,AA
Delta Air Lines,2019'Q2,7.0,public,US,North America,DL
Southwest Airlines,2019'Q2,3.0,public,US,North America,WN
United Airlines,2019'Q2,7.0,public,US,North America,UA
Alaska Air,2019'Q2,5.0,public,US,North America,AS
JetBlue,2019'Q2,7.0,public,US,North America,B6
SkyWest,2019'Q2,-2.0,public,US,North America,OO
Air Canada,2019'Q2,7.0,public,CA,North America,AC
IAG,2019'Q2,2.0,public,EU,Europe,
Air France-KLM,2019'Q2,2.0,public,EU,Europe,AF/KL
Ryanair,2019'Q2,3.0,public,EU,Europe,FR
easyJet,2019'Q2,8.0,public,EU,Europe,U2
Deutsche Lufthansa,2019'Q2,-1.0,public,EU,Europe,LH
Finnair,2019'Q2,6.0,public,EU,Europe,AY
Singapore Airlines,2019'Q2,-3.0,public,SG,Asia Pacific,SQ
Cathay Pacific,2019'Q2,5.0,public,HK,Asia Pacific,CX
LATAM Airlines,2019'Q2,1.0,public,CL,Latin America,LA
Air China,2019'Q2,3.0,public,CN,China,CA
China Eastern,2019'Q2,4.0,public,CN,China,MU
China Southern,2019'Q2,6.0,public,CN,China,CZ
Hainan Airlines,2019'Q2,7.0,public,CN,China,HU
Qatar Airways,2019'Q2,10.0,private,QA,Middle East,QR
Aeroflot,2019'Q2,10.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2019'Q2,10.0,public,TR,Turkey,TK
American Airlines,2019'Q3,3.0,public,US,North America,AA
Delta Air Lines,2019'Q3,6.0,public,US,North America,DL
Southwest Airlines,2019'Q3,3.0,public,US,North America,WN
United Airlines,2019'Q3,6.0,public,US,North America,UA
Alaska Air,2019'Q3,6.0,public,US,North America,AS
JetBlue,2019'Q3,7.0,public,US,North America,B6
SkyWest,2019'Q3,-5.0,public,US,North America,OO
Air Canada,2019'Q3,9.0,public,CA,North America,AC
IAG,2019'Q3,2.0,public,EU,Europe,
Air France-KLM,2019'Q3,2.0,public,EU,Europe,AF/KL
Ryanair,2019'Q3,5.0,public,EU,Europe,FR
easyJet,2019'Q3,5.0,public,EU,Europe,U2
Deutsche Lufthansa,2019'Q3,-1.0,public,EU,Europe,LH
Finnair,2019'Q3,6.0,public,EU,Europe,AY
Singapore Airlines,2019'Q3,-5.0,public,SG,Asia Pacific,SQ
Qantas Airways,2019'Q3,-1.0,public,AU,Asia Pacific,QF
Cathay Pacific,2019'Q3,1.0,public,HK,Asia Pacific,CX
LATAM Airlines,2019'Q3,1.0,public,CL,Latin America,LA
China Eastern,2019'Q3,4.0,public,CN,China,MU
China Southern,2019'Q3,6.0,public,CN,China,CZ
Hainan Airlines,2019'Q3,6.0,public,CN,China,HU
Qatar Airways,2019'Q3,7.0,private,QA,Middle East,QR
Aeroflot,2019'Q3,17.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2019'Q3,7.0,public,TR,Turkey,TK
American Airlines,2019'Q4,3.0,public,US,North America,AA
Delta Air Lines,2019'Q4,6.0,public,US,North America,DL
Southwest Airlines,2019'Q4,2.0,public,US,North America,WN
United Airlines,2019'Q4,5.0,public,US,North America,UA
Alaska Air,2019'Q4,6.0,public,US,North America,AS
JetBlue,2019'Q4,6.0,public,US,North America,B6
SkyWest,2019'Q4,-8.0,public,US,North America,OO
Air Canada,2019'Q4,11.0,public,CA,North America,AC
IAG,2019'Q4,3.0,public,EU,Europe,
Ryanair,2019'Q4,8.0,public,EU,Europe,FR
easyJet,2019'Q4,2.0,public,EU,Europe,U2
Deutsche Lufthansa,2019'Q4,-1.0,public,EU,Europe,LH
Finnair,2019'Q4,6.0,public,EU,Europe,AY
Singapore Airlines,2019'Q4,-7.0,public,SG,Asia Pacific,SQ
Qantas Airways,2019'Q4,-2.0,public,AU,Asia Pacific,QF
Cathay Pacific,2019'Q4,-3.0,public,HK,Asia Pacific,CX
Air China,2019'Q4,-2.0,public,CN,China,CA
China Eastern,2019'Q4,3.0,public,CN,China,MU
China Southern,2019'Q4,5.0,public,CN,China,CZ
Hainan Airlines,2019'Q4,5.0,public,CN,China,HU
Qatar Airways,2019'Q4,5.0,private,QA,Middle East,QR
Aeroflot,2019'Q4,24.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2019'Q4,3.0,public,TR,Turkey,TK
American Airlines,2020'Q1,-13.0,public,US,North America,AA
Delta Air Lines,2020'Q1,-12.0,public,US,North America,DL
Southwest Airlines,2020'Q1,-13.0,public,US,North America,WN
United Airlines,2020'Q1,-13.0,public,US,North America,UA
Alaska Air,2020'Q1,-10.0,public,US,North America,AS
JetBlue,2020'Q1,-12.0,public,US,North America,B6
SkyWest,2020'Q1,-13.0,public,US,North America,OO
Air Canada,2020'Q1,-9.0,public,CA,North America,AC
IAG,2020'Q1,-15.0,public,EU,Europe,
Ryanair,2020'Q1,-14.0,public,EU,Europe,FR
easyJet,2020'Q1,-11.0,public,EU,Europe,U2
Deutsche Lufthansa,2020'Q1,-18.0,public,EU,Europe,LH
Finnair,2020'Q1,-13.0,public,EU,Europe,AY
Singapore Airlines,2020'Q1,-24.0,public,SG,Asia Pacific,SQ
Qantas Airways,2020'Q1,-7.0,public,AU,Asia Pacific,QF
Cathay Pacific,2020'Q1,-16.0,public,HK,Asia Pacific,CX
LATAM Airlines,2020'Q1,-15.0,public,CL,Latin America,LA
Air China,2020'Q1,-13.0,public,CN,China,CA
China Eastern,2020'Q1,-9.0,public,CN,China,MU
China Southern,2020'Q1,-5.0,public,CN,China,CZ
Hainan Airlines,2020'Q1,-10.0,public,CN,China,HU
Qatar Airways,2020'Q1,-7.0,private,QA,Middle East,QR
Aeroflot,2020'Q1,3.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2020'Q1,-10.0,public,TR,Turkey,TK
American Airlines,2020'Q2,-30.0,public,US,North America,AA
Delta Air Lines,2020'Q2,-29.0,public,US,North America,DL
Southwest Airlines,2020'Q2,-29.0,public,US,North America,WN
United Airlines,2020'Q2,-30.0,public,US,North America,UA
Alaska Air,2020'Q2,-27.0,public,US,North America,AS
JetBlue,2020'Q2,-29.0,public,US,North America,B6
SkyWest,2020'Q2,-18.0,public,US,North America,OO
Air Canada,2020'Q2,-29.0,public,CA,North America,AC
IAG,2020'Q2,-30.0,public,EU,Europe,
Ryanair,2020'Q2,-30.0,public,EU,Europe,FR
easyJet,2020'Q2,-24.0,public,EU,Europe,U2
Deutsche Lufthansa,2020'Q2,-30.0,public,EU,Europe,LH
Finnair,2020'Q2,-30.0,public,EU,Europe,AY
Singapore Airlines,2020'Q2,-30.0,public,SG,Asia Pacific,SQ
Qantas Airways,2020'Q2,-12.0,public,AU,Asia Pacific,QF
Cathay Pacific,2020'Q2,-30.0,public,HK,Asia Pacific,CX
LATAM Airlines,2020'Q2,-29.0,public,CL,Latin America,LA
Air China,2020'Q2,-23.0,public,CN,China,CA
China Eastern,2020'Q2,-21.0,public,CN,China,MU
China Southern,2020'Q2,-15.0,public,CN,China,CZ
Hainan Airlines,2020'Q2,-26.0,public,CN,China,HU
Qatar Airways,2020'Q2,-19.0,private,QA,Middle East,QR
Aeroflot,2020'Q2,-19.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2020'Q2,-23.0,public,TR,Turkey,TK
American Airlines,2020'Q3,-30.0,public,US,North America,AA
Delta Air Lines,2020'Q3,-30.0,public,US,North America,DL
Southwest Airlines,2020'Q3,-30.0,public,US,North America,WN
United Airlines,2020'Q3,-30.0,public,US,North America,UA
Alaska Air,2020'Q3,-30.0,public,US,North America,AS
JetBlue,2020'Q3,-30.0,public,US,North America,B6
SkyWest,2020'Q3,-23.0,public,US,North America,OO
Air Canada,2020'Q3,-30.0,public,CA,North America,AC
IAG,2020'Q3,-30.0,public,EU,Europe,
Ryanair,2020'Q3,-30.0,public,EU,Europe,FR
easyJet,2020'Q3,-30.0,public,EU,Europe,U2
Deutsche Lufthansa,2020'Q3,-30.0,public,EU,Europe,LH
Finnair,2020'Q3,-30.0,public,EU,Europe,AY
Singapore Airlines,2020'Q3,-30.0,public,SG,Asia Pacific,SQ
Qantas Airways,2020'Q3,-16.0,public,AU,Asia Pacific,QF
Cathay Pacific,2020'Q3,-30.0,public,HK,Asia Pacific,CX
LATAM Airlines,2020'Q3,-30.0,public,CL,Latin America,LA
Air China,2020'Q3,-30.0,public,CN,China,CA
China Eastern,2020'Q3,-30.0,public,CN,China,MU
China Southern,2020'Q3,-25.0,public,CN,China,CZ
Hainan Airlines,2020'Q3,-30.0,public,CN,China,HU
Qatar Airways,2020'Q3,-30.0,private,QA,Middle East,QR
Aeroflot,2020'Q3,-30.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2020'Q3,-30.0,public,TR,Turkey,TK
American Airlines,2020'Q4,-30.0,public,US,North America,AA
Delta Air Lines,2020'Q4,-30.0,public,US,North America,DL
Southwest Airlines,2020'Q4,-30.0,public,US,North America,WN
United Airlines,2020'Q4,-30.0,public,US,North America,UA
Alaska Air,2020'Q4,-30.0,public,US,North America,AS
JetBlue,2020'Q4,-30.0,public,US,North America,B6
SkyWest,2020'Q4,-28.0,public,US,North America,OO
Air Canada,2020'Q4,-30.0,public,CA,North America,AC
IAG,2020'Q4,-30.0,public,EU,Europe,
Ryanair,2020'Q4,-30.0,public,EU,Europe,FR
easyJet,2020'Q4,-30.0,public,EU,Europe,U2
Deutsche Lufthansa,2020'Q4,-30.0,public,EU,Europe,LH
Finnair,2020'Q4,-30.0,public,EU,Europe,AY
Singapore Airlines,2020'Q4,-30.0,public,SG,Asia Pacific,SQ
Qantas Airways,2020'Q4,-21.0,public,AU,Asia Pacific,QF
Cathay Pacific,2020'Q4,-30.0,public,HK,Asia Pacific,CX
LATAM Airlines,2020'Q4,-30.0,public,CL,Latin America,LA
Air China,2020'Q4,-30.0,public,CN,China,CA
China Eastern,2020'Q4,-30.0,public,CN,China,MU
China Southern,2020'Q4,-30.0,public,CN,China,CZ
Hainan Airlines,2020'Q4,-30.0,public,CN,China,HU
Qatar Airways,2020'Q4,-30.0,private,QA,Middle East,QR
Aeroflot,2020'Q4,-30.0,"taken private 2023, war",RU,Russia,SU
Turkish Airlines,2020'Q4,-30.0,public,TR,Turkey,TK
American Airlines,2021'Q1,-28.0,public,US,North America,AA
Delta Air Lines,2021'Q1,-29.0,public,US,North America,DL
Southwest Airlines,2021'Q1,-26.0,public,US,North America,WN
United Airlines,2021'Q1,-30.0,public,US,North America,UA
Alaska Air,2021'Q1,-26.0,public,US,North America,AS
JetBlue,2021'Q1,-22.0,public,US,North America,B6
SkyWest,2021'Q1,-14.0,public,US,North America,OO
Air Canada,2021'Q1,-30.0,public,CA,North America,AC
IAG,2021'Q1,-30.0,public,EU,Europe,
Air France-KLM,2021'Q1,19.0,public,EU,Europe,AF/KL
Ryanair,2021'Q1,-15.0,public,EU,Europe,FR
easyJet,2021'Q1,-30.0,public,EU,Europe,U2
Deutsche Lufthansa,2021'Q1,-30.0,public,EU,Europe,LH
Finnair,2021'Q1,-30.0,public,EU,Europe,AY
Singapore Airlines,2021'Q1,-30.0,public,SG,Asia Pacific,SQ
Qantas Airways,2021'Q1,-30.0,public,AU,Asia Pacific,QF
Cathay Pacific,2021'Q1,-30.0,public,HK,Asia Pacific,CX
LATAM Airlines,2021'Q1,-30.0,public,CL,Latin America,LA
Air China,2021'Q1,-30.0,public,CN,China,CA
China Eastern,2021'Q1,-30.0,public,CN,China,MU
China Southern,2021'Q1,-23.0,public,CN,China,CZ
Hainan Airlines,2021'Q1,-30.0,public,CN,China,HU
Qatar Airways,2021'Q1,-9.0,private,QA,Middle East,QR
